image_ID_index,train_or_test,classifier_class,image_relative_filepath,classifier_class_cnn,classifier_class_autoencoder
26,test,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_0288.jpg,1,1
27,test,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_0289.jpg,1,1
28,test,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_0290.jpg,1,1
29,test,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_0291.jpg,1,1
30,test,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_2467.jpg,1,1
31,test,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_2468.jpg,1,1
32,test,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_2469.jpg,1,1
33,test,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_2470.jpg,1,1
34,test,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_2471.jpg,1,1
35,test,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_2472.jpg,1,1
36,test,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_2473.jpg,1,1
37,test,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_2474.jpg,1,1
38,test,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_3919.jpg,1,1
39,test,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_4556.jpg,1,1
40,test,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_4557.jpg,1,1
41,test,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_4558.jpg,1,1
42,test,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_4559.jpg,1,1
43,test,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_4560.jpg,1,1
44,test,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_4842.jpg,1,1
45,test,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_4912.jpg,1,1
46,test,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_4913.jpg,1,1
47,test,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_4914.jpg,1,1
48,test,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_4915.jpg,1,1
49,test,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_4916.jpg,1,1
50,test,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_4917.jpg,1,1
51,test,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_4918.jpg,1,1
52,test,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_4919.jpg,1,1
53,test,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_4920.jpg,1,1
54,test,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_5012.jpg,1,1
55,test,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_5013.jpg,1,1
56,test,1,../video/frames/test/play/Juan Martin del Potro vs Rafael Nadal ｜ Wimbledon 2018 ｜ Full Match [S5LVbZUgM48]_frame_0216.jpg,1,0
57,test,1,../video/frames/test/play/Juan Martin del Potro vs Rafael Nadal ｜ Wimbledon 2018 ｜ Full Match [S5LVbZUgM48]_frame_0389.jpg,1,0
58,test,1,../video/frames/test/play/Novak Djokovic vs Daniil Medvedev Full Match ｜ Australian Open 2021 Final [MG-RjlqyaJI]_frame_5635.jpg,1,0
59,test,1,../video/frames/test/play/Novak Djokovic vs Daniil Medvedev Full Match ｜ Australian Open 2021 Final [MG-RjlqyaJI]_frame_5825.jpg,1,0
60,test,1,../video/frames/test/play/Novak Djokovic vs Daniil Medvedev Full Match ｜ Australian Open 2021 Final [MG-RjlqyaJI]_frame_6015.jpg,1,0
61,test,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_0852.jpg,0,1
62,test,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_0949.jpg,0,1
63,test,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_0950.jpg,0,1
64,test,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_0951.jpg,0,1
65,test,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_0952.jpg,0,1
66,test,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_0953.jpg,0,1
67,test,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11105.jpg,0,1
68,test,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11106.jpg,0,1
69,test,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11107.jpg,0,1
70,test,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11108.jpg,0,1
71,test,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11109.jpg,0,1
72,test,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11110.jpg,0,1
73,test,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11111.jpg,0,1
74,test,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11112.jpg,0,1
75,test,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11113.jpg,0,1
76,test,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11114.jpg,0,1
77,test,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11115.jpg,0,0
78,test,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11116.jpg,0,1
79,test,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11117.jpg,0,1
80,test,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11118.jpg,0,1
81,test,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11119.jpg,0,1
82,test,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11120.jpg,0,1
83,test,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11121.jpg,0,1
84,test,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11122.jpg,0,1
85,test,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11123.jpg,0,1
86,test,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11124.jpg,0,1
87,test,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_18790.jpg,0,1
88,test,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_19073.jpg,0,1
89,test,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_19521.jpg,0,1
90,test,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_21973.jpg,0,1
91,test,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_21976.jpg,0,1
92,test,1,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_5562.jpg,1,0
93,test,1,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_5563.jpg,1,0
94,test,1,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_5564.jpg,1,0
95,test,1,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_5565.jpg,1,0
96,test,1,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_5566.jpg,1,0
97,test,1,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_5567.jpg,1,0
98,test,1,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_5568.jpg,1,0
99,test,1,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_5569.jpg,1,0
100,test,1,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_5570.jpg,1,0
101,test,1,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_5571.jpg,1,0
102,test,1,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_5572.jpg,1,0
103,test,1,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_5573.jpg,1,0
104,test,1,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_5574.jpg,1,0
105,test,1,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_5575.jpg,1,0
106,test,1,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_5576.jpg,1,0
107,test,1,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_6173.jpg,1,0
108,test,1,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_6216.jpg,1,0
109,test,1,../video/frames/test/play/Roger Federer v Rafael Nadal Full Match ｜ Australian Open 2017 Final [KTCDxjJvs2U]_frame_0049.jpg,1,0
110,test,1,../video/frames/test/play/Roger Federer v Rafael Nadal Full Match ｜ Australian Open 2017 Final [KTCDxjJvs2U]_frame_1592.jpg,1,0
111,test,1,../video/frames/test/play/Roger Federer v Rafael Nadal Full Match ｜ Australian Open 2017 Final [KTCDxjJvs2U]_frame_1745.jpg,0,0
112,test,1,../video/frames/test/play/Roger Federer vs Rafael Nadal ｜ Wimbledon 2019 ｜ Full Match [wZnCcqm_g-E]_frame_0028.jpg,1,1
113,test,1,../video/frames/test/play/Roger Federer vs Rafael Nadal ｜ Wimbledon 2019 ｜ Full Match [wZnCcqm_g-E]_frame_0244.jpg,1,1
114,test,1,../video/frames/test/play/Roger Federer vs Rafael Nadal ｜ Wimbledon 2019 ｜ Full Match [wZnCcqm_g-E]_frame_0317.jpg,1,1
115,test,1,../video/frames/test/play/Serena Williams v Venus Williams Full Match ｜ Australian Open 2017 Final [tKIFQI9cH2c]_frame_2812.jpg,1,0
116,test,1,../video/frames/test/play/Serena Williams v Venus Williams Full Match ｜ Australian Open 2017 Final [tKIFQI9cH2c]_frame_2889.jpg,1,0
117,test,1,../video/frames/test/play/Serena Williams v Venus Williams Full Match ｜ Australian Open 2017 Final [tKIFQI9cH2c]_frame_3050.jpg,1,0
118,test,1,../video/frames/test/play/Serena Williams v Venus Williams Full Match ｜ Australian Open 2017 Final [tKIFQI9cH2c]_frame_3325.jpg,1,0
119,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7275.jpg,1,0
120,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7276.jpg,1,0
121,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7277.jpg,1,0
122,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7278.jpg,1,0
123,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7279.jpg,1,0
124,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7280.jpg,1,0
125,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7281.jpg,1,0
126,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7282.jpg,1,0
127,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7283.jpg,1,0
128,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7284.jpg,1,0
129,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7285.jpg,1,0
130,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7286.jpg,1,0
131,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7287.jpg,1,0
132,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7288.jpg,1,0
133,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7345.jpg,1,0
134,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7346.jpg,1,0
135,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7347.jpg,1,0
136,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7348.jpg,1,0
137,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7349.jpg,1,0
138,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7350.jpg,1,0
139,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7351.jpg,1,0
140,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7352.jpg,1,0
141,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7353.jpg,1,0
142,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7354.jpg,1,0
143,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7355.jpg,1,0
144,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7356.jpg,1,0
145,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7357.jpg,1,0
146,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7358.jpg,1,0
147,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7359.jpg,1,0
148,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7360.jpg,1,0
149,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7361.jpg,1,0
150,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7362.jpg,1,0
151,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7363.jpg,1,0
152,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7364.jpg,1,0
153,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7365.jpg,1,0
154,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7366.jpg,1,0
155,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7367.jpg,1,0
156,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7368.jpg,1,0
157,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7369.jpg,1,0
158,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7419.jpg,1,0
159,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7420.jpg,1,0
160,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7421.jpg,1,0
161,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7422.jpg,1,0
162,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7423.jpg,1,0
163,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7424.jpg,1,0
164,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7425.jpg,1,0
165,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7426.jpg,1,0
166,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7427.jpg,1,0
167,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7428.jpg,1,0
168,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7429.jpg,1,0
169,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7430.jpg,1,0
170,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7431.jpg,1,0
171,test,1,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7613.jpg,1,0
